Questionnaire Template Name,Question ID,Question,Has File,Question Ordering,Answer,Submit Risk,Subject,Owner,Affected Assets,Sub Questions,Risk Scoring Method,Calculated Risk,Classic-Likelihood,Classic-Impact,CVSS-Attack Vector,CVSS-Attack Complexity,CVSS-Authentication,CVSS-Confidentiality Impact,CVSS-Integrity Impact,CVSS-Availability Impact,CVSS-Exploitability,CVSS-Remediation Level,CVSS-Report Confidence,CVSS-Collateral Damage Potential,CVSS-Target Distribution,CVSS-Confidentiality Requirement,CVSS-Integrity Requirement,CVSS-Availability Requirement,DREAD-Damage Potential,DREAD-Reproducibility,DREAD-Exploitability,DREAD-Affected Users,DREAD-Discoverability,OWASP-Skill Level,OWASP-Motive,OWASP-Opportunity,OWASP-Size,OWASP-Ease of Discovery,OWASP-Ease of Exploit,OWASP-Awareness,OWASP-Intrusion Detection,OWASP-Loss of Confidentiality,OWASP-Loss of Integrity,OWASP-Loss of Availability,OWASP-Loss of Accountability,OWASP-Financial Damage,OWASP-Reputation Damage,OWASP-Non-Compliance,OWASP-Privacy Violation,Custom Value,Contributing Likelihood,Contributing Subjects and Impacts
Higher Education Community Vendor Assessment Tool (HECVAT) - App/Service Security (v2.11),1,APPL-01: Do you support role-based access control (RBAC) for end-users?,0,1,Yes,0,,,,,Custom,10,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Higher Education Community Vendor Assessment Tool (HECVAT) - App/Service Security (v2.11),2,APPL-02: Do you support role-based access control (RBAC) for system administrators?,0,2,Yes,0,,,,,Custom,10,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Higher Education Community Vendor Assessment Tool (HECVAT) - App/Service Security (v2.11),3,APPL-03: Can employees access customer data remotely?,0,3,Yes,0,,,,,Custom,10,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Higher Education Community Vendor Assessment Tool (HECVAT) - App/Service Security (v2.11),4,APPL-04: Can you provide overall system and/or application architecture diagrams including a full description of the data communications architecture for all components of the system?,0,4,Yes,0,,,,,Custom,10,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Higher Education Community Vendor Assessment Tool (HECVAT) - App/Service Security (v2.11),5,APPL-05: Does the system provide data input validation and error messages? ,0,5,Yes,0,,,,,Custom,10,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Higher Education Community Vendor Assessment Tool (HECVAT) - App/Service Security (v2.11),6,APPL-06: Do you employ a single-tenant environment? ,0,6,Yes,0,,,,,Custom,10,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Higher Education Community Vendor Assessment Tool (HECVAT) - App/Service Security (v2.11),7,APPL-07: What operating system(s) is/are leveraged by the system(s)/application(s) that will have access to institution's data?,0,7,Yes,0,,,,,Custom,10,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Higher Education Community Vendor Assessment Tool (HECVAT) - App/Service Security (v2.11),8,APPL-08: Have you or any third party you contract with that may have access or allow access to the institution's data experienced a breach?,0,8,Yes,0,,,,,Custom,10,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Higher Education Community Vendor Assessment Tool (HECVAT) - App/Service Security (v2.11),9,APPL-09: Describe or provide a reference to additional software/products necessary to implement a functional system on either the backend or user-interface side of the system. ,0,9,Yes,0,,,,,Custom,10,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Higher Education Community Vendor Assessment Tool (HECVAT) - App/Service Security (v2.11),10,"APPL-10: Describe or provide a reference to the overall system and/or application architecture(s), including appropriate diagrams. Include a full description of the data communications architecture for all components of the system. ",0,10,Yes,0,,,,,Custom,10,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
